;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
integrate;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;4;18;26;51;53;53;68;117;118;103;134;112;129;141;152;172;183;165;62
role;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;10;11;16;16;17;27;35;53;36;37;54;41;35;60;55;41;34;49
area;0;0;2;1;1;1;0;4;4;4;2;2;2;2;0;1;0;12;43;23;45;73;70;73;138;127;91;112;111;136;168;187;154;152;180;68
studio;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;8;0;0;1;0;1;8;4;0;0;2;0
metabolic;0;0;0;6;6;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;1;0;1;2;0;0;3;1;13;0;0;1;1;1;1
renovation;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;1;0;0;0;0;0
heat;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;5;0;2;8;0;1;0;0;6;4;4;2;8;5;3;1;0
biotechnology;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;1;2;7;5;2;2;5;0;0;3;0;3;4;1;0
security;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;17;84;49;54;37;47;63;96;149;140;171;241;231;339;387;426;369;329;117
purpose;0;0;0;2;2;0;0;0;0;0;0;0;1;0;2;0;0;0;4;9;2;15;13;13;12;20;11;14;25;17;20;19;17;15;15;5
learn;0;1;1;0;0;0;0;0;0;0;0;4;0;0;1;1;0;3;26;17;30;46;77;112;179;176;187;194;294;318;375;418;306;339;425;198
computational;0;0;3;3;3;1;0;2;2;2;3;0;0;0;0;0;0;1;13;22;49;110;67;103;175;159;126;119;128;130;138;236;177;151;210;99
idea;0;0;0;1;1;0;0;0;0;0;0;0;0;3;0;0;0;1;6;8;7;14;15;18;16;37;30;29;25;50;44;43;44;39;54;15
situation;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;2;1;2;4;2;1;6;6;7;5;8;5;17;12;19;16;16;7;8;7
arrangement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;3;0;1;2;2;6;11;6;3;5;2;4;0;1;8;1;4;2
government;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;6;0;7;10;3;16;32;13;22;28;36;29;40;42;62;41;60;75;79;84;43
gauge;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;1;3;1;2;1;5;4;3;1;1;1
defect;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;1;2;2;3;13;4;10;15;5;10;1;0;4
sort;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;2;1;0;1;0;0;1;0;0;0;2;2;1;0;2;0;0;0
innovative;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;4;5;17;14;24;21;38;36;32;47;28;56;73;48;40;59;51;24
reality;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;6;0;3;3;2;13;6;3;5;5;9;11;19;11;33;12;28;3
dynamic;0;0;1;1;1;1;0;1;1;1;0;0;0;2;0;0;0;7;5;5;18;42;39;60;67;65;55;43;77;62;114;100;123;90;122;45
service;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;3;12;20;32;44;16;88;39;81;93;77;69;92;81;101;121;102;116;106;40
make;0;0;0;1;1;0;0;0;0;0;0;0;1;0;3;0;1;6;23;16;38;61;62;93;118;118;113;124;147;162;196;189;206;220;200;76
procedure;0;0;0;1;1;0;0;2;2;2;0;0;0;0;0;0;0;1;2;3;6;2;1;4;5;8;4;4;20;15;10;7;13;11;14;5
propose;0;0;3;1;1;0;0;0;0;0;0;0;1;1;1;1;1;8;18;30;28;50;67;64;105;157;82;75;99;109;159;129;176;170;131;59
computation;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;2;7;2;3;24;26;21;37;34;27;25;43;34;29;47;67;52;47;19
state;0;0;1;0;0;0;0;0;0;0;0;0;2;8;0;0;0;7;11;15;10;58;40;25;83;94;43;59;58;68;85;66;82;112;116;56
explore;0;0;1;0;0;0;0;0;0;0;0;1;0;0;3;0;1;2;5;11;11;15;16;27;38;48;39;29;59;66;75;76;68;59;82;27
computerize;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;3;1;1;1;0;0
goal;0;0;0;2;2;0;0;0;0;0;0;0;0;2;3;0;1;9;21;27;45;63;42;85;90;126;67;105;113;124;156;193;206;174;180;93
share;0;0;1;2;2;0;0;0;0;0;0;0;0;0;2;0;0;7;8;41;28;31;64;55;56;82;65;90;91;122;119;143;167;152;147;57
commitment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;4;4;3;2;2;3;1;2;0;11;5;4;2;2
game;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;2;1;2;7;8;17;11;12;13;16;6;15;35;53;34;13;14;16
capture;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;1;0;1;1;5;1;4;13;8;11;18;10;17;16;18;29;26;41;43;23;17
analog;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;1;9;0;3;0;1;1;9;3;7;2;0
important;0;0;3;2;2;0;0;0;0;0;0;0;2;0;0;0;0;10;15;14;24;34;27;41;71;69;58;59;79;74;100;88;94;81;89;60
equation;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;1;2;1;10;2;7;3;5;5;15;2;10;9;4
algebra;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;17;4;0;0;0;1;0;0;3;0;4;5;5;8;6;3;1;3;1
step;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;3;1;8;16;5;6;19;12;11;23;20;12;12;16;20;17;10;8
held;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;2;7;5;5;16;20;16;13;19;15;16;22;15;14;20;15;15;8;11
animal;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;11;5;0;5;3;3;14;11;3;4;5;12;13;3;5
spike;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
multidisciplinary;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;5;3;4;9;12;13;16;23;27;9;11;21;19;14;21;25;23;27;15
level;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;4;1;5;21;13;29;27;42;53;96;84;70;56;83;68;108;110;110;87;109;34
engineer;0;0;0;0;0;0;0;1;1;1;2;0;2;0;2;0;0;1;8;7;17;30;37;23;29;38;22;35;35;56;56;80;66;43;66;14
electrochemical;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;1;0;0;0;0;1;0;1;1;0
astronomy;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;2;0;0;8;4;0;13;13;5;2;7;14;7;15;9;10;15;0
parallel;0;0;0;5;5;0;0;0;0;0;1;0;0;0;0;0;0;0;6;9;4;12;26;9;26;27;12;15;13;15;22;24;37;31;41;14
develop;0;0;2;3;3;0;0;1;1;1;0;5;0;2;1;4;1;9;37;64;69;129;140;159;247;315;198;199;276;230;340;355;430;384;401;192
inspection;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;1;0;2;8;5;1;1;2;1;2
industry;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;4;12;12;19;16;34;43;55;50;42;71;63;56;104;103;125;153;157;58
fund;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;2;10;11;10;11;28;23;129;91;24;59;34;76;52;85;35;43;79;41
agency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;1;4;9;3;20;13;18;20;20;35;29;23;28;35;16;36;32;41;40;22
technology;0;1;0;0;0;0;0;0;0;0;3;1;2;0;2;6;0;23;49;59;87;90;123;134;206;179;179;179;219;277;361;315;278;271;264;115
medicine;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;5;7;5;12;4;5;7;6;9;12;15;9;14;3
public;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;16;0;5;13;19;38;32;30;33;160;136;40;55;83;66;83;68;116;105;93;42
commercially;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;5;0;0;1;0;1;0;0
conference;0;0;0;0;0;0;0;1;1;1;0;0;4;0;3;0;0;3;8;14;3;3;36;14;38;33;23;45;34;38;57;64;68;56;94;13
senior;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;1;17;7;0;16;7;13;9;7;6;4;21;6;6;6;3
modernization;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;1;0;0;0;1;0;5;2;1;0
arbitrarily;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
rapid;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;1;0;0;1;2;8;11;12;7;13;18;12;18;17;12;28;34;32;30;35;9
ligand;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;1;1;0;0;0;0;0;0;3;0;0;0;0
scale;0;0;0;0;0;4;0;0;0;0;0;0;1;2;0;0;0;5;11;11;23;26;34;43;81;90;55;70;56;42;84;97;108;79;93;72
ego;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
range;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;5;9;17;18;34;38;38;72;88;52;50;60;82;70;82;119;107;88;39
restore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;1;2;1;0;2;1;1;0;0;2;0;0;7;2;3;1
cyberinfrastructure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;24;46;84;168;132;145;187;236;102;170;135;118;103;169;164;144;186;100
compute;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;8;20;33;70;77;75;88;118;148;66;133;122;142;170;235;263;275;232;194
replace;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;2;6;3;3;5;0;2;3;5;5;5;6;1;2;0
value;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;3;1;2;12;4;9;9;22;12;24;20;18;25;28;38;31;26;25;7
take;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;2;3;13;7;11;29;22;17;53;39;20;44;51;55;72;59;62;67;47;25
mission;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;4;2;2;8;6;2;9;14;10;32;29;28;28;402;438;184
maintain;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;1;6;10;4;6;13;8;24;15;21;21;20;30;33;39;44;37;33;17
society;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;2;9;10;13;17;12;18;34;32;22;35;37;39;51;52;51;72;55;27
scanner;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;4;7;1;0;0
group;0;0;0;0;0;2;0;0;0;0;0;1;0;0;3;2;0;6;18;21;40;79;81;90;128;147;100;96;102;107;99;147;105;126;111;62
affect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;4;8;7;6;16;12;13;15;11;22;13;28;35;36;27;29;5
building;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;7;8;21;28;31;47;36;59;55;49;114;67;103;105;105;91;153;105;31
chemical;0;1;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;2;0;7;5;27;18;22;54;41;30;30;12;13;31;27;34;19;25;26
application;0;0;5;0;0;1;0;0;0;0;2;1;0;2;0;1;0;8;18;45;67;81;120;97;154;184;119;119;170;196;246;219;253;236;232;124
interfaced;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;3;0;0;0;0;1;0;3;3;0;0
scientific;0;0;0;0;0;0;0;1;1;1;2;2;0;2;0;0;0;5;31;32;50;65;69;126;147;172;104;139;142;159;182;221;191;204;202;101
construct;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;2;16;7;3;5;15;20;14;6;12;13;15;26;30;27;21;13;6
attach;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;1;1;0;2;0;0;0;3;1;0;2;3;1;0
address;0;0;0;0;0;0;0;0;0;0;0;3;0;1;2;0;0;12;29;32;53;54;71;72;109;119;101;109;154;148;168;181;188;237;204;94
enable;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;4;11;30;43;42;40;87;149;157;107;141;136;141;193;209;240;211;250;133
outreach;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;4;5;7;20;31;36;38;76;60;45;53;43;45;60;92;67;73;81;40
education;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;18;36;25;65;62;100;138;197;248;136;184;158;203;196;232;217;208;281;122
plan;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;12;27;36;36;44;22;66;62;57;62;63;68;50;72;108;92;67;30
interaction;0;0;0;2;2;1;0;0;0;0;2;0;0;0;2;2;5;2;12;8;18;22;33;75;71;52;54;50;89;47;103;107;109;123;87;70
substitutability;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
recipient;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;2;3;0;2;5;5;6;0;12;4;1;3;7;3;12
emerge;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;10;14;13;23;20;24;38;50;29;38;39;44;76;82;86;72;88;33
several;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;5;12;7;13;26;33;22;45;41;28;34;40;43;60;45;71;55;69;29
personal;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;3;2;5;11;12;5;6;2;10;10;24;7;10;25;13;8
basic;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;7;4;5;3;10;11;17;24;12;16;16;16;15;18;26;26;22;10
site;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;2;17;25;31;20;20;42;56;60;54;40;39;54;58;71;47;90;40;27
intelligent;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;6;4;8;14;10;33;15;14;16;35;26;32;42;36;12
alter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;1;2;1;0;3;1;2;1;0;10;4;5;6;3;4;1
attachment;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
crucial;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;2;6;3;5;7;9;2;12;9;7;11;12;18;14;11;10
recently;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;2;3;2;4;1;3;3;12;4;11;8;9;7;15;15;15;15;8
governance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;1;1;1;2;7;19;2;4;9;12;14;15;2;10;8;1
user;0;0;2;0;0;0;0;0;0;0;0;6;0;0;3;0;0;4;11;35;68;38;71;67;104;77;86;79;118;127;116;182;189;159;146;151
biochemical;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;1;4;1;1;2;0;2;6;0;0;2;1;2
likely;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;3;0;0;4;0;4;7;5;8;14;10;6;17;14;22;9;12;10;12;18;2
nation;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;8;7;11;11;10;14;31;33;14;18;28;28;43;33;45;52;60;17
skill;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;2;1;6;5;8;8;20;23;35;53;37;46;66;59;89;105;82;112;85;45
virtual;0;0;0;0;0;0;0;0;0;0;0;13;0;0;4;0;0;1;18;4;19;20;60;77;107;84;46;52;77;60;50;42;43;36;53;15
real;0;0;1;0;0;0;0;0;0;0;0;2;0;1;3;1;0;1;4;2;6;10;4;21;18;23;15;13;32;32;50;51;41;37;38;15
board;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;1;1;1;2;1;2;0;3;7;5;4;7;1;2;6;4;4;9;2
international;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;1;15;14;28;27;53;33;53;127;47;53;47;50;40;46;40;32;42;7
amount;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;3;3;1;2;6;3;16;11;13;17;19;17;19;25;31;20;20;15
college;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;11;33;26;41;11;40;24;60;76;72;64;66;77;74;65;68;111;127;37
create;0;0;0;0;0;0;0;0;0;0;5;0;1;0;3;2;0;12;16;16;44;51;62;76;107;90;84;108;109;90;123;184;163;143;144;71
provide;0;0;1;2;2;1;0;0;0;0;3;0;2;1;2;9;1;18;47;83;127;136;160;180;297;381;227;249;308;322;427;498;433;419;377;227
variety;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;2;0;3;2;6;9;8;15;19;45;30;27;26;43;32;78;56;45;49;48;26
shape;0;0;0;3;3;0;0;0;0;0;0;1;1;0;0;0;0;0;2;1;4;6;13;9;6;2;8;16;13;8;23;21;8;16;26;10
neuroscience;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;11;0;0;2;3;2;1;2;1;4;0;4;2;35;29;3;11;10
experimental;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;3;11;8;14;30;10;27;52;63;20;25;29;42;46;104;96;39;41;23
effort;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;2;1;8;16;26;52;63;64;67;95;91;65;90;86;117;137;144;142;128;125;50
act;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;3;1;2;1;1;0;3;6;9;5;6;8;18;10;8;10;7;12;10;3
spectrometer;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;7;13;47;5;6;1;2;1;1;3;1;5;1;0
future;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;2;9;29;16;66;49;53;57;99;69;65;95;92;169;150;123;125;153;71
neutralize;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1;0;0;0
integrates;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;6;3;1;15;12;9;9;13;13;13;6;17;24;13;21;31;15
waes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
experience;0;0;2;0;0;1;0;0;0;0;0;3;0;0;4;1;1;4;10;17;20;44;42;65;80;87;73;54;75;77;93;109;112;101;127;73
designer;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;1;1;6;4;1;6;9;4;8;4;13;7;5;11;3
geoscience;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;9;9;4;4;6;1;3;1;7;3;36;24;28;9;8;19;14;20;1
radiology;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
regulation;0;0;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;4;0;6;4;1;4;1;4;10;7;5;9;7;11
planning;0;0;0;0;0;1;0;0;0;0;0;0;3;2;1;0;0;0;12;13;23;17;19;17;28;19;22;27;21;31;30;29;43;38;39;22
speed;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;1;2;2;7;8;12;9;6;12;13;14;20;18;20;19;12
biochemistry;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;8;2;0;3;2;4;0;2;3;0;0;1
symposium;0;0;0;0;0;0;0;3;3;3;0;0;0;0;0;0;0;1;2;0;9;3;2;2;1;6;1;4;7;7;19;5;14;7;12;0
see;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;7;3;3;4;9;6;8;18;8;11;11;20;9;17;18;9;9;4
web;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10;0;3;12;5;11;13;20;17;29;35;30;39;36;30;23;31;28;34;20;13
body;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;7;12;2;3;7;7;14;20;5;16;10;13;17;21;27;12;18;7
bound;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;3;1;2;4;4;3;4;6;2;12;2
specific;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;2;0;1;9;9;14;21;24;25;39;43;26;43;47;55;48;69;88;46;61;22
chemistry;0;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;14;26;29;28;91;59;26;20;26;18;29;40;25;13;8;5
evaluation;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;2;0;3;7;6;15;19;17;33;48;43;39;18;18;40;49;50;37;387;416;183
topic;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;4;11;13;7;18;16;11;30;37;16;21;24;43;50;43;55;63;44;27
sustain;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;1;2;8;5;8;10;12;22;14;21;22;17;12;23;19;19;21;10
machine;0;0;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;6;5;4;11;26;29;15;14;32;24;67;73;84;99;156;68
cyberspace;0;0;0;0;0;0;0;0;0;0;2;0;0;2;1;0;0;3;2;1;2;1;4;5;8;8;2;9;10;13;18;22;17;6;14;7
hypothesis;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;1;0;0;5;2;3;3;6;12;2;6;7;10;11;4;8;21;9;11;3
code;0;0;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;6;20;32;14;11;39;18;33;28;35;36;54;64;57;77;31
organization;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0;9;6;6;15;20;63;53;63;95;29;53;49;60;30;74;62;51;66;19
question;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;4;9;7;37;8;29;43;46;37;43;37;43;58;53;51;68;56;20
data;0;4;1;1;1;0;2;1;1;1;2;0;1;1;2;7;0;18;80;169;143;215;209;228;389;456;272;458;650;645;708;926;1110;952;906;429
related;0;0;0;0;0;1;0;0;0;0;0;2;0;4;0;1;0;6;13;15;13;25;24;22;45;76;36;48;34;54;76;67;52;81;82;41
conformation;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;6;1;0;0;0;0;0;0;1;0;0;1
cylindrical;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
product;0;0;0;3;3;0;0;0;0;0;0;5;2;1;3;2;0;2;8;3;9;13;32;18;43;28;13;38;43;55;67;36;42;51;50;19
neighborhood;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;1;0;0;2;1;6;4;7;0;2;3;0
norm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;2;0;6;0;1;2;3;1;2;4;1;2;0
criterion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;1;1;2;2;5;4;3;2;4;3;9;10;6;359;378;181
remote;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;3;1;11;11;17;24;28;17;19;22;24;26;26;27;20;29;31;8
understand;0;0;3;0;0;0;0;0;0;0;0;1;0;2;2;3;0;5;20;24;41;53;54;117;150;136;120;119;187;177;219;209;200;184;188;105
award;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;2;0;3;10;24;16;65;74;47;181;154;48;110;58;51;55;108;64;430;461;285
function;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;3;0;1;6;6;8;9;23;27;44;30;23;23;28;30;36;54;55;43;37;44
developer;0;0;0;0;0;0;0;0;0;0;0;2;0;0;5;0;0;0;2;5;5;18;17;9;14;16;11;15;14;12;32;22;27;31;23;3
activity;0;0;1;1;1;0;0;0;0;0;1;5;0;0;2;10;0;9;37;34;51;65;102;71;142;190;127;121;139;187;160;225;185;176;188;104
graduate;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;5;14;12;27;54;54;55;118;110;96;104;102;101;129;161;141;143;150;58
online;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;4;3;7;8;14;22;51;50;31;65;75;80;97;65;77;81;82;40
number;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;7;23;15;19;34;53;44;84;76;50;54;48;69;56;90;79;69;67;38
facility;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;11;26;26;22;28;39;51;115;30;19;26;41;47;147;55;71;39;39
republic;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;0;0;0;0;0;0
