State;University_Name
Alabama;Alabama A&M University 
Alabama;Alabama State University 
Alabama;Athens State University
Alabama;Auburn University
Alabama;Auburn University at Montgomery
Alabama;Jacksonville State University
Alabama;Troy University
Alabama;University of Alabama
Alabama;University of Alabama at Birm
Alaska;University of Alaska
Alaska;University of Alaska Fairbanks 
Alaska;University of Alaska Anchorage 
Alaska;University of Alaska Southeast 
Arizona;Arizona Board of Regents
Arizona;Arizona State University 
Arizona;Northern Arizona University 
Arizona;University of Arizona
Arkansas;University of Arkansas
Arkansas;University of Arkansas at Little Rock
Arkansas;University of Arkansas for Medical Sciences
Arkansas;University of Arkansas at Monticello
Arkansas;University of Arkansas at Pine Bluff
Arkansas;Arkansas State University
Arkansas;Arkansas Tech University
Arkansas;University of Central Arkansas 
Arkansas;Henderson State University
Arkansas;Southern Arkansas University 
California;University of California
California;University of California, Berkeley 
California;University of California, Davis 
California;University of California, Irvine 
California;University of California, Los Angeles 
California;University of California, Merced 
California;University of California, Riverside 
California;University of California, San Diego 
California;University of California, San Francisco 
California;University of California, Santa Barbara 
California;University of California, Santa Cruz 
California;California State University
California;California State University, Bakersfield 
California;California State University, Channel Islands 
California;California State University, Chico 
California;California State University, Dominguez Hills 
California;California State University, East Bay 
California;California State University, Fresno 
California;California State University, Fullerton 
California;Humboldt State University 
California;California State University, Long Beach 
California;California State University, Los Angeles 
California;California Maritime Academy 
California;California State University, Monterey Bay 
California;California State University, Northridge 
California;California State Polytechnic University, Pomona 
California;California State University, Sacramento 
California;California State University, San Bernardino 
California;San Diego State University 
California;San Francisco State University 
California;San Jose State University 
California;California Polytechnic State University, San Luis Obispo 
California;California State University, San Marcos 
California;Sonoma State University 
California;California State University, Stanislaus 
Colorado;Adams State University
Colorado;University of Colorado
Colorado;University of Colorado Boulder 
Colorado;University of Colorado Colorado Springs 
Colorado;University of Colorado Denver 
Colorado;Colorado Mesa University
Colorado;Colorado School of Mines
Colorado;Colorado State University
Colorado;Colorado State University 
Colorado;Colorado State University Pueblo 
Colorado;Colorado State University Global Campus 
Colorado;Fort Lewis College
Colorado;Metropolitan State University of Denver
Colorado;University of Northern Colorado
Colorado;Western Colorado University 
Connecticut;Charter Oak State College 
Connecticut;Connecticut State University
Connecticut;Central Connecticut State University 
Connecticut;Eastern Connecticut State University 
Connecticut;Southern Connecticut State University 
Connecticut;Western Connecticut State University 
Connecticut;University of Connecticut
Delaware;University of Delaware 
Delaware;Delaware State University
Delaware;District of Columbia
Delaware;University of the District of Columbia 
Florida;State University of Florida
Florida;Florida A&M University 
Florida;Florida Atlantic University 
Florida;Florida Gulf Coast University 
Florida;Florida International University 
Florida;Florida Polytechnic University 
Florida;Florida State University 
Florida;New College of Florida 
Florida;University of Central Florida 
Florida;University of Florida 
Florida;University of North Florida 
Florida;University of South Florida
Florida;University of South Florida 
Florida;University of South Florida St. Petersburg 
Florida;University of West Florida 
Florida;Florida College 
Florida;Broward College
Florida;Chipola College
Florida;College of Central Florida
Florida;Daytona State College
Florida;Eastern Florida State College
Florida;Florida Gateway College
Florida;Florida SouthWestern State College
Florida;Florida State College at Jacksonville
Florida;Gulf Coast State College
Florida;Indian River State College
Florida;Lake Sumter State College
Florida;Miami Dade College
Florida;Northwest Florida State College
Florida;Palm Beach State College
Florida;Pasco Hernando State College
Florida;Pensacola State College
Florida;Polk State College
Florida;Santa Fe College
Florida;Seminole State College of Florida
Florida;South Florida State College
Florida;St. Johns River State College
Florida;St. Petersburg College
Florida;State College of Florida, Manatee Sarasota
Florida;Tallahassee Community College
Florida;Valencia College
Georgia;University of Georgia
Georgia;Abraham Baldwin Agricultural College 
Georgia;Albany State University
Georgia;Atlanta Metropolitan State College
Georgia;Augusta University 
Georgia;Clayton State University
Georgia;College of Coastal Georgia 
Georgia;Columbus State University
Georgia;Dalton State College
Georgia;East Georgia State College
Georgia;Fort Valley State University 
Georgia;Georgia College and State University 
Georgia;Georgia Gwinnett College
Georgia;Georgia Highlands College 
Georgia;Georgia Institute of Technology 
Georgia;Georgia Southern University
Georgia;Georgia Southwestern State University 
Georgia;Georgia State University 
Georgia;Gordon State College
Georgia;Kennesaw State University 
Georgia;Middle Georgia State University
Georgia;Savannah State University
Georgia;South Georgia State College 
Georgia;University of Georgia 
Georgia;University of North Georgia 
Georgia;University of West Georgia 
Georgia;Valdosta State University 
Guam;University of Guam
Hawaii;University of Hawaii
Hawaii;University of Hawaii at Mnoa 
Hawaii;University of Hawaii at Hilo 
Hawaii;University of Hawaii Maui College
Hawaii;University of Hawaii West Oahu 
Idaho;Boise State University 
Idaho;University of Idaho 
Idaho;Idaho State University 
Idaho;Lewis Clark State College
Illinois;Chicago State University 
Illinois;Eastern Illinois University 
Illinois;Governors State University
Illinois;Illinois State University 
Illinois;University of Illinois
Illinois;University of Illinois at Urbana Champaign 
Illinois;University of Illinois at Chicago 
Illinois;University of Illinois at Springfield 
Illinois;Northeastern Illinois University
Illinois;Northern Illinois University 
Illinois;Southern Illinois University
Illinois;Southern Illinois University Carbondale 
Illinois;Southern Illinois University Edwardsville 
Illinois;Western Illinois University 
Indiana;Ball State University
Indiana;Indiana University
Indiana;Indiana University Bloomington 
Indiana;Indiana University East
Indiana;Indiana University Fort Wayne
Indiana;Indiana University Kokomo 
Indiana;Indiana University Northwest
Indiana;Indiana University South Bend 
Indiana;Indiana University Southeast
Indiana;Indiana State University
Indiana;Purdue University
Indiana;Purdue University 
Indiana;Purdue University Fort Wayne 
Indiana;Purdue University Northwest
Indiana;University of Southern Indiana 
Indiana;Vincennes University 
Iowa;University of Iowa 
Iowa;Iowa State University 
Iowa;University of Northern Iowa 
Kansas;Emporia State University 
Kansas;Fort Hays State University 
Kansas;University of Kansas 
Kansas;Kansas State University 
Kansas;Pittsburg State University
Kansas;Wichita State University
Kentucky;Eastern Kentucky University 
Kentucky;University of Kentucky 
Kentucky;Kentucky State University
Kentucky;University of Louisville 
Kentucky;Morehead State University
Kentucky;Murray State University
Kentucky;Northern Kentucky University 
Kentucky;Western Kentucky University 
Louisiana;Louisiana State University
Louisiana;Louisiana State University and A&M College 
Louisiana;Louisiana State University Agricultural Center
Louisiana;Louisiana State University at Eunice 
Louisiana;Louisiana State University of Alexandria 
Louisiana;Louisiana State University Shreveport 
Louisiana;LSU Health Sciences Center New Orleans
Louisiana;LSU Health Sciences Center Shreveport
Louisiana;Paul M. Hebert Law Center 
Louisiana;Pennington Biomedical Research Center
Louisiana;University of Louisiana
Louisiana;Grambling State University 
Louisiana;Louisiana Tech University 
Louisiana;McNeese State University 
Louisiana;Nicholls State University
Louisiana;Northwestern State University 
Louisiana;Southeastern Louisiana University 
Louisiana;University of Louisiana at Lafayette 
Louisiana;University of Louisiana at Monroe 
Louisiana;University of New Orleans 
Louisiana;Southern University
Louisiana;Southern University at New Orleans 
Louisiana;Southern University at Shreveport 
Maine;Maine Maritime Academy
Maine;University of Maine
Maine;University of Maine School of Law
Maine;University of Maine at Augusta 
Maine;University of Maine at Farmington 
Maine;University of Maine at Fort Kent 
Maine;University of Maine at Machias 
Maine;University of Maine at Presque Isle 
Maine;University of Southern Maine 
Maryland;Morgan State University
Maryland;St. Mary's College of Maryland
Maryland;University of Maryland
Maryland;University of Maryland, College Park 
Maryland;Bowie State University
Maryland;Coppin State University
Maryland;Frostburg State University
Maryland;Salisbury University
Maryland;Towson University 
Maryland;University of Baltimore 
Maryland;University of Maryland, Baltimore 
Maryland;University of Maryland, Baltimore County 
Maryland;University of Maryland Eastern Shore 
Maryland;University of Maryland Global Campus 
Maryland;University of Maryland Center for Environmental Science
Maryland;University of Maryland Biotechnology Institute
Massachusetts;University of Massachusetts
Massachusetts;University of Massachusetts Amherst 
Massachusetts;University of Massachusetts Boston 
Massachusetts;University of Massachusetts Dartmouth 
Massachusetts;University of Massachusetts Lowell 
Massachusetts;University of Massachusetts Medical School
Massachusetts;State University
Massachusetts;Bridgewater State University
Massachusetts;Fitchburg State University
Massachusetts;Framingham State University
Massachusetts;Salem State University
Massachusetts;Westfield State University
Massachusetts;Worcester State University
Massachusetts;Massachusetts College of Art and Design 
Massachusetts;Massachusetts College of Liberal Arts
Massachusetts;Massachusetts Maritime Academy
Michigan;Central Michigan University 
Michigan;Eastern Michigan University 
Michigan;Ferris State University 
Michigan;Grand Valley State University 
Michigan;Lake Superior State University
Michigan;University of Michigan
Michigan;University of Michigan Dearborn
Michigan;University of Michigan Flint
Michigan;Michigan State University 
Michigan;Michigan Technological University 
Michigan;Northern Michigan University 
Michigan;Oakland University 
Michigan;Saginaw Valley State University
Michigan;Wayne State University 
Michigan;Western Michigan University 
Minnesota;Minnesota State Colleges and Universities 
Minnesota;Bemidji State University
Minnesota;Minnesota State University, Mankato 
Minnesota;Minnesota State University Moorhead
Minnesota;Metropolitan State University
Minnesota;Southwest Minnesota State University
Minnesota;St. Cloud State University
Minnesota;Winona State University
Minnesota;University of Minnesota
Minnesota;University of Minnesota Twin Cities 
Minnesota;University of Minnesota Crookston
Minnesota;University of Minnesota Duluth
Minnesota;University of Minnesota Morris
Minnesota;University of Minnesota Rochester
Mississippi;Alcorn State University
Mississippi;Delta State University 
Mississippi;Jackson State University 
Mississippi;Mississippi State University 
Mississippi;Mississippi University for Women 
Mississippi;Mississippi Valley State University
Mississippi;University of Mississippi 
Mississippi;University of Southern Mississippi 
Missouri;University of Central Missouri 
Missouri;Harris Stowe State University
Missouri;Lincoln University of Missouri
Missouri;University of Missouri
Missouri;University of Missouri 
Missouri;University of Missouri Kansas City 
Missouri;Missouri University of Science and Technology 
Missouri;University of Missouri St. Louis 
Missouri;Missouri Southern State University
Missouri;Missouri State University
Missouri;Missouri Western State University
Missouri;Northwest Missouri State University
Missouri;Southeast Missouri State University
Missouri;Truman State University 
Montana;Montana University 
Montana;Montana State University
Montana;Montana State University 
Montana;Montana State University Billings 
Montana;Montana State University Northern 
Montana;University of Montana
Montana;University of Montana 
Montana;Montana Technological University 
Montana;University of Montana Western 
Nebraska;Nebraska State College
Nebraska;Chadron State College
Nebraska;Peru State College
Nebraska;Wayne State College
Nebraska;University of Nebraska
Nebraska;University of Nebraska Lincoln 
Nebraska;University of Nebraska at Kearney 
Nebraska;University of Nebraska Omaha 
Nebraska;University of Nebraska Medical Center 
Nevada;University of Nevada
Nevada;Nevada of Higher Education
Nevada;University of Nevada, Reno 
Nevada;College of Southern Nevada
Nevada;Great Basin College
Nevada;Nevada State College
Nevada;University of Nevada, Las Vegas 
Nevada;Western Nevada College
Nevada;Truckee Meadows Community College 
New Hampshire;University of New Hampshire
New Hampshire;Granite State College
New Hampshire;Keene State College
New Hampshire;Plymouth State University
New Hampshire;University of New Hampshire 
New Jersey;The College of New Jersey
New Jersey;Kean University
New Jersey;Montclair State University
New Jersey;New Jersey City University
New Jersey;New Jersey Institute of Technology 
New Jersey;Ramapo College of New Jersey
New Jersey;Rowan University
New Jersey;Rutgers University New Brunswick 
New Jersey;Rutgers University Newark
New Jersey;Rutgers University Camden
New Jersey;Stockton University
New Jersey;Thomas Edison State University
New Jersey;William Paterson University of New Jersey
New Jersey;New Mexico
New Jersey;Eastern New Mexico University 
New Jersey;University of New Mexico 
New Jersey;New Mexico Highlands University
New Jersey;New Mexico State University 
New Jersey;New Mexico Institute of Mining and Technology 
New Jersey;Northern New Mexico College
New Jersey;Western New Mexico University 
New York;State University of New York 
New York;University centers
New York;The State University of New York at Buffalo 
New York;University at Albany 
New York;Binghamton University 
New York;Stony Brook University 
New York;Other doctoral-granting institutions
New York;Health Science Center Brooklyn
New York;State University of New York Upstate Medical University
New York;State University of New York Polytechnic Institute 
New York;New York State College of Ceramics 
New York;College of Agriculture and Life Sciences 
New York;College of Human Ecology 
New York;College of Veterinary Medicine 
New York;School of Industrial and Labor Relations 
New York;State University of New York College of Environmental Science and Forestry
New York;State University of New York State College of Optometry
New York;Comprehensive colleges
New York;Buffalo State College
New York;Empire State College
New York;State University of New York
New York;State University of New York at Brockport 
New York;State University of New York at Cortland 
New York;State University of New York at Fredonia 
New York;State University of New York at Geneseo 
New York;State University of New York at New Paltz 
New York;State University of New York at Old Westbury 
New York;State University of New York at Oneonta 
New York;State University of New York at Oswego 
New York;State University of New York at Plattsburgh 
New York;State University of New York at Potsdam 
New York;State University of New York at Purchase 
New York;Technology colleges
New York;Alfred State College
New York;Fashion Institute of Technology
New York;State University of New York at Canton 
New York;State University of New York at Cobleskill 
New York;State University of New York at Delhi 
New York;State University of New York at Farmingdale 
New York;Morrisville State College
New York;State University of New York Maritime College 
New York;City University of New York 
New York;Baruch College
New York;Brooklyn College
New York;City College of New York
New York;College of Staten Island
New York;Hunter College
New York;John Jay College of Criminal Justice
New York;Lehman College
New York;Medgar Evers College
New York;New York City College of Technology
New York;Queens College
New York;York College
New York;Graduate and professional schools
New York;CUNY Graduate Center
New York;CUNY Graduate School of Journalism
New York;CUNY School of Law
New York;CUNY School of Medicine
New York;CUNY School of Professional Studies
New York;CUNY School of Public Health
New York;William E. Macaulay Honors College
North Carolina;University of North Carolina
North Carolina;Appalachian State University 
North Carolina;East Carolina University 
North Carolina;Elizabeth City State University 
North Carolina;Fayetteville State University 
North Carolina;North Carolina A&T State University 
North Carolina;North Carolina Central University 
North Carolina;North Carolina State University 
North Carolina;University of North Carolina at Asheville 
North Carolina;University of North Carolina at Chapel Hill 
North Carolina;University of North Carolina at Charlotte 
North Carolina;University of North Carolina at Greensboro 
North Carolina;University of North Carolina at Pembroke 
North Carolina;University of North Carolina at Wilmington 
North Carolina;University of North Carolina School of the Arts 
North Carolina;Western Carolina University 
North Carolina;Winston-Salem State University 
North Dakota;North Dakota University 
North Dakota;Bismarck State College
North Dakota;Dickinson State University
North Dakota;Mayville State University
North Dakota;Minot State University
North Dakota;University of North Dakota 
North Dakota;North Dakota State University 
North Dakota;Valley City State University
North Dakota;Northern Mariana Islands
Ohio;University of Ohio
Ohio;University of Akron 
Ohio;Bowling Green State University 
Ohio;Central State University
Ohio;University of Cincinnati
Ohio;Cleveland State University
Ohio;Kent State University
Ohio;Miami University
Ohio;Northeast Ohio Medical University
Ohio;Ohio State University
Ohio;Ohio University
Ohio;Shawnee State University
Ohio;University of Toledo
Ohio;Wright State University
Ohio;Youngstown State University
Oklahoma;Cameron University
Oklahoma;University of Central Oklahoma 
Oklahoma;East Central University
Oklahoma;Langston University
Oklahoma;Northeastern State University
Oklahoma;Northwestern Oklahoma State University
Oklahoma;University of Oklahoma
Oklahoma;University of Oklahoma 
Oklahoma;University of Oklahoma-Tulsa Schusterman Center
Oklahoma;University of Oklahoma Health Sciences Center
Oklahoma;Oklahoma Panhandle State University
Oklahoma;Oklahoma State University
Oklahoma;Oklahoma State University Stillwater 
Oklahoma;Oklahoma State University Center for Health Sciences
Oklahoma;Oklahoma State University Institute of Technology
Oklahoma;Oklahoma State University Oklahoma City
Oklahoma;Oklahoma State University Tulsa
Oklahoma;Rogers State University
Oklahoma;University of Science and Arts of Oklahoma
Oklahoma;Southeastern Oklahoma State University
Oklahoma;Southwestern Oklahoma State University
Oregon;University of Oregon 
Oregon;Oregon Health & Science University 
Oregon;Oregon State University 
Oregon;Portland State University 
Oregon;Eastern Oregon University 
Oregon;Oregon Institute of Technology 
Oregon;Southern Oregon University 
Oregon;Western Oregon University 
Pennsylvania;Pennsylvania State of Higher Education 
Pennsylvania;Bloomsburg University of Pennsylvania
Pennsylvania;California University of Pennsylvania
Pennsylvania;Cheyney University of Pennsylvania
Pennsylvania;Clarion University of Pennsylvania
Pennsylvania;East Stroudsburg University of Pennsylvania
Pennsylvania;Edinboro University of Pennsylvania
Pennsylvania;Indiana University of Pennsylvania 
Pennsylvania;Kutztown University of Pennsylvania
Pennsylvania;Lock Haven University of Pennsylvania
Pennsylvania;Mansfield University of Pennsylvania
Pennsylvania;Millersville University of Pennsylvania
Pennsylvania;Shippensburg University of Pennsylvania
Pennsylvania;Slippery Rock University of Pennsylvania
Pennsylvania;West Chester University of Pennsylvania
Pennsylvania;Commonwealth of Higher Education
Pennsylvania;Lincoln University
Pennsylvania;Pennsylvania State University
Pennsylvania;Penn State University Park 
Pennsylvania;Penn State Abington 
Pennsylvania;Penn State Altoona 
Pennsylvania;Penn State Berks 
Pennsylvania;Penn State Beaver 
Pennsylvania;Penn State Brandywine 
Pennsylvania;Penn State College of Medicine
Pennsylvania;Penn State Dickinson Law
Pennsylvania;Penn State DuBois 
Pennsylvania;Penn State Erie, The Behrend College 
Pennsylvania;Penn State Fayette 
Pennsylvania;Penn State Great Valley 
Pennsylvania;Penn State Greater Allegheny 
Pennsylvania;Penn State Harrisburg 
Pennsylvania;Penn State Hazleton 
Pennsylvania;Penn State Lehigh Valley 
Pennsylvania;Penn State Mont Alto 
Pennsylvania;Penn State New Kensington 
Pennsylvania;Penn State Schuylkill 
Pennsylvania;Penn State Scranton 
Pennsylvania;Penn State Shenango 
Pennsylvania;Penn State Wilkes-Barre 
Pennsylvania;Penn State World Campus
Pennsylvania;Penn State York 
Pennsylvania;Temple University
Pennsylvania;Temple University 
Pennsylvania;Temple University Ambler 
Pennsylvania;University of Pittsburgh
Pennsylvania;University of Pittsburgh 
Pennsylvania;University of Pittsburgh at Bradford
Pennsylvania;University of Pittsburgh at Greensburg
Pennsylvania;University of Pittsburgh at Johnstown
Pennsylvania;University of Pittsburgh at Titusville
Puerto Rico;University of Puerto Rico
Puerto Rico;University of Puerto Rico at Rio Piedras 
Puerto Rico;University of Puerto Rico at Aguadilla 
Puerto Rico;University of Puerto Rico at Arecibo 
Puerto Rico;University of Puerto Rico at Bayamón 
Puerto Rico;University of Puerto Rico at Carolina 
Puerto Rico;University of Puerto Rico at Cayey 
Puerto Rico;University of Puerto Rico at Humacao 
Puerto Rico;University of Puerto Rico at Mayagüez 
Puerto Rico;University of Puerto Rico at Ponce 
Puerto Rico;University of Puerto Rico at Utuado 
Puerto Rico;University of Puerto Rico, Medical Sciences Campus 
Puerto Rico;Escuela de Artes Plásticas y Diseño de Puerto Rico
Puerto Rico;Conservatory of Music of Puerto Rico
Rhode Island;Rhode Island College 
Rhode Island;University of Rhode Island
South Carolina;Clemson University
South Carolina;Coastal Carolina University 
South Carolina;College of Charleston 
South Carolina;Francis Marion University
South Carolina;Lander University
South Carolina;Medical University of South Carolina
South Carolina;University of South Carolina
South Carolina;University of South Carolina 
South Carolina;University of South Carolina Aiken 
South Carolina;University of South Carolina Beaufort 
South Carolina;University of South Carolina Lancaster 
South Carolina;University of South Carolina Salkehatchie 
South Carolina;University of South Carolina Sumter 
South Carolina;University of South Carolina Union 
South Carolina;University of South Carolina Upstate 
South Carolina;South Carolina State University 
South Carolina;Winthrop University 
South Dakota;Black Hills State University
South Dakota;Dakota State University
South Dakota;Northern State University
South Dakota;University of South Dakota 
South Dakota;South Dakota School of Mines and Technology 
South Dakota;South Dakota State University 
Tennessee;Austin Peay State University 
Tennessee;East Tennessee State University 
Tennessee;Middle Tennessee State University 
Tennessee;Tennessee State University 
Tennessee;Tennessee Technological University 
Tennessee;University of Memphis 
Tennessee;University of Tennessee 
Tennessee;University of Tennessee at Knoxville 
Tennessee;University of Tennessee at Chattanooga 
Tennessee;University of Tennessee at Martin 
Tennessee;University of Tennessee Health Science Center 
Tennessee;University of Tennessee Space Institute 
Texas;University of Houston
Texas;University of Houston 
Texas;University of Houston Clear Lake
Texas;University of Houston Downtown
Texas;University of Houston Victoria
Texas;Midwestern State University
Texas;University of North Texas
Texas;University of North Texas 
Texas;University of North Texas at Dallas
Texas;University of North Texas Health Science Center
Texas;Stephen F. Austin State University
Texas;The University of Texas
Texas;The University of Texas at Arlington
Texas;The University of Texas at Austin 
Texas;The University of Texas at Dallas
Texas;The University of Texas at El Paso
Texas;The University of Texas of the Permian Basin
Texas;The University of Texas Rio Grande Valley
Texas;The University of Texas at San Antonio
Texas;The University of Texas at Tyler
Texas;University of Texas MD Anderson Cancer Center
Texas;University of Texas Medical Branch
Texas;University of Texas Southwestern Medical Center
Texas;University of Texas Health Science Center at Houston 
Texas;University of Texas Health Science Center at San Antonio
Texas;University of Texas Health Science Center at Tyler
Texas;Texas A&M University
Texas;Prairie View A&M University
Texas;Tarleton State University
Texas;Texas A&M International University
Texas;Texas A&M University Central Texas
Texas;Texas A&M University Commerce
Texas;Texas A&M University Corpus Christi
Texas;Texas A&M University Kingsville
Texas;Texas A&M University San Antonio
Texas;Texas A&M University Texarkana
Texas;West Texas A&M University
Texas;Texas Southern University
Texas;Texas State University
Texas;Lamar University
Texas;Sam Houston State University
Texas;Sul Ross State University
Texas;Texas Tech University
Texas;Angelo State University
Texas;Texas Tech University 
Texas;Texas Woman's University
Texas;North American University
Utah;Utah of Higher Education
Utah;Dixie State University 
Utah;Snow College
Utah;Southern Utah University 
Utah;University of Utah 
Utah;Utah State University 
Utah;Utah Valley University 
Utah;Weber State University 
Utah;Vermont State Colleges 
Utah;Castleton University 
Utah;Northern Vermont University
Utah;University of Vermont 
Utah;Vermont Technical College 
Virginia;Christopher Newport University 
Virginia;Eastern Virginia Medical School 
Virginia;George Mason University 
Virginia;James Madison University 
Virginia;Longwood University
Virginia;University of Mary Washington 
Virginia;University of Management and Technology, Virginia 
Virginia;Norfolk State University
Virginia;Old Dominion University 
Virginia;Radford University
Virginia;University of Virginia 
Virginia;University of Virginia's College at Wise 
Virginia;Virginia Commonwealth University 
Virginia;Virginia Military Institute 
Virginia;Virginia Polytechnic Institute and State University 
Virginia;Virginia State University 
Virginia;The College of William & Mary 
Virgin Islands;University of the Virgin Islands
Virgin Islands;University of the Virgin Islands   St. Croix campus 
Virgin Islands;University of the Virgin Islands   St. Thomas campus 
Washington;Central Washington University 
Washington;Eastern Washington University 
Washington;Evergreen State College
Washington;University of Washington
Washington;Washington State University
Washington;Western Washington University 
West Virginia;Bluefield State College
West Virginia;Concord University
West Virginia;Fairmont State University
West Virginia;Glenville State College
West Virginia;Marshall University
West Virginia;Shepherd University
West Virginia;West Liberty University
West Virginia;West Virginia University at Parkersburg
West Virginia;West Virginia University
West Virginia;West Virginia University Institute of Technology 
West Virginia;West Virginia School of Osteopathic Medicine
West Virginia;West Virginia State University 
Wisconsin;University of Wisconsin
Wisconsin;University of Wisconsin Madison 
Wisconsin;University of Wisconsin Eau Claire
Wisconsin;University of Wisconsin Green Bay
Wisconsin;University of Wisconsin La Crosse
Wisconsin;University of Wisconsin Milwaukee
Wisconsin;University of Wisconsin Oshkosh
Wisconsin;University of Wisconsin Parkside
Wisconsin;University of Wisconsin Platteville
Wisconsin;University of Wisconsin River Falls
Wisconsin;University of Wisconsin Stevens Point
Wisconsin;University of Wisconsin Stout
Wisconsin;University of Wisconsin Superior
Wisconsin;University of Wisconsin Whitewater
Wyoming;University of Wyoming
